time,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,mx,my,mz
9.57,0,0,0,0.575974976253489,0.817467324563981,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.571,0,0,0,0.575893226641294,0.817524917974173,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.572,0,0,0,0.575811471270167,0.817582503209117,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.573,0,0,0,0.575729710140925,0.817640080268236,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.574,0,0,0,0.575647943254386,0.817697649150953,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.575,0,0,0,0.575566170611368,0.817755209856694,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.576,0,0,0,0.575484392212687,0.817812762384884,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.577,0,0,0,0.575402608059163,0.817870306734945,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.578,0,0,0,0.575320818151613,0.817927842906304,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.579,0,0,0,0.575239022490855,0.817985370898384,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.58,0,0,0,0.575157221077706,0.81804289071061,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.581,0,0,0,0.575075413912986,0.818100402342407,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.582,0,0,0,0.574993600997511,0.8181579057932,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.583,0,0,0,0.5749117823321,0.818215401062415,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.584,0,0,0,0.574829957917571,0.818272888149475,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.585,0,0,0,0.574748127754743,0.818330367053807,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.586,0,0,0,0.574666291844433,0.818387837774834,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.587,0,0,0,0.574584450187461,0.818445300311984,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.588,0,0,0,0.574502602784644,0.81850275466468,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.589,0,0,0,0.574420749636801,0.818560200832349,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
